Statistical indicator,Administrator unit,Year,Key,Value,Population,Rate,Difference to Average,MapX,MapY
Suicide,Darkhan-Uul,2013,Darkhan-Uul - 2013,8,98969,8.083339227,-2.939509466,7,4
Suicide,Darkhan-Uul,2014,Darkhan-Uul - 2014,11,99947,11.00583309,1.392852363,7,4
Suicide,Darkhan-Uul,2015,Darkhan-Uul - 2015,3,100939,2.972092056,-1.737209928,7,4
Suicide,Darkhan-Uul,2016,Darkhan-Uul - 2016,2,101876,1.963170914,-4.639530745,7,4
Suicide,Darkhan-Uul,2017,Darkhan-Uul - 2017,10,104074,9.608547764,-5.181097848,7,4
Suicide,Umnugovi,2010,Umnugovi - 2010,31,61591,50.33202903,24.00068437,6,1
Suicide,Umnugovi,2011,Umnugovi - 2011,7,63426,11.03648346,-0.131272595,6,1
Suicide,Umnugovi,2012,Umnugovi - 2012,6,65373,9.178101051,-2.119978555,6,1
Suicide,Umnugovi,2013,Umnugovi - 2013,8,67149,11.91380363,0.890954938,6,1
Suicide,Umnugovi,2014,Umnugovi - 2014,4,59694,6.700840956,-2.912139773,6,1
Suicide,Umnugovi,2015,Umnugovi - 2015,5,61655,8.109642365,3.400340381,6,1
Suicide,Umnugovi,2016,Umnugovi - 2016,1,63307,1.579604151,-5.023097508,6,1
Suicide,Umnugovi,2017,Umnugovi - 2017,8,65314,12.24852252,-2.54112309,6,1
Suicide,Dundgovi,2010,Dundgovi - 2010,3,38728,7.746333402,-18.58501126,6,2
Suicide,Dundgovi,2011,Dundgovi - 2011,6,37726,15.90415098,4.736394927,6,2
Suicide,Dundgovi,2012,Dundgovi - 2012,0,37773,0,-11.29807961,6,2
Suicide,Dundgovi,2013,Dundgovi - 2013,4,37364,10.70549192,-0.317356776,6,2
Suicide,Dundgovi,2014,Dundgovi - 2014,1,44351,2.254740592,-7.358240136,6,2
Suicide,Dundgovi,2015,Dundgovi - 2015,1,44429,2.250782147,-2.458519837,6,2
Suicide,Dundgovi,2016,Dundgovi - 2016,1,44762,2.2340378,-4.368663859,6,2
Suicide,Dundgovi,2017,Dundgovi - 2017,2,45755,4.371106983,-10.41853863,6,2
Suicide,Dornod,2010,Dornod - 2010,16,69552,23.00437083,-3.326973828,9,4
Suicide,Dornod,2011,Dornod - 2011,7,70214,9.969521748,-1.198234309,9,4
Suicide,Dornod,2012,Dornod - 2012,9,71275,12.62714837,1.329068764,9,4
Suicide,Dornod,2013,Dornod - 2013,7,71529,9.786240546,-1.236608147,9,4
Suicide,Dornod,2014,Dornod - 2014,9,75194,11.96904008,2.356059355,9,4
Suicide,Dornod,2015,Dornod - 2015,0,76476,0,-4.709301983,9,4
Suicide,Dornod,2016,Dornod - 2016,3,77579,3.86702587,-2.735675788,9,4
Suicide,Dornod,2017,Dornod - 2017,6,79445,7.552394738,-7.237250873,9,4
Suicide,Sukhbaatar,2010,Sukhbaatar - 2010,17,51422,33.05977986,6.728435202,9,3
Suicide,Sukhbaatar,2011,Sukhbaatar - 2011,0,51782,0,-11.16775606,9,3
Suicide,Sukhbaatar,2012,Sukhbaatar - 2012,3,52646,5.698438628,-5.599640978,9,3
Suicide,Sukhbaatar,2013,Sukhbaatar - 2013,6,53147,11.28944249,0.266593797,9,3
Suicide,Sukhbaatar,2014,Sukhbaatar - 2014,1,57423,1.74146248,-7.871518248,9,3
Suicide,Sukhbaatar,2015,Sukhbaatar - 2015,3,59034,5.081817258,0.372515275,9,3
Suicide,Sukhbaatar,2016,Sukhbaatar - 2016,3,59810,5.015883631,-1.586818027,9,3
Suicide,Sukhbaatar,2017,Sukhbaatar - 2017,2,61131,3.271662495,-11.51798312,9,3
Suicide,Khentii,2010,Khentii - 2010,2,65942,3.032968366,-23.29837629,8,3.5
Suicide,Khentii,2011,Khentii - 2011,1,66447,1.504958839,-9.662797217,8,3.5
Suicide,Khentii,2012,Khentii - 2012,5,67466,7.411140426,-3.886939179,8,3.5
Suicide,Khentii,2013,Khentii - 2013,3,67489,4.445168842,-6.577679851,8,3.5
Suicide,Khentii,2014,Khentii - 2014,1,71212,1.404257709,-8.208723019,8,3.5
Suicide,Khentii,2015,Khentii - 2015,2,72609,2.754479472,-1.954822511,8,3.5
Suicide,Khentii,2016,Khentii - 2016,1,73663,1.357533633,-5.245168026,8,3.5
Suicide,Khentii,2017,Khentii - 2017,7,75683,9.249104819,-5.540540793,8,3.5
Suicide,Ulaanbaatar,2010,Ulaanbaatar - 2010,479,1244449,38.49093052,12.15958587,7,3
Suicide,Ulaanbaatar,2011,Ulaanbaatar - 2011,204,1287100,15.84958434,4.681828281,7,3
Suicide,Ulaanbaatar,2012,Ulaanbaatar - 2012,184,1318130,13.95916943,2.661089824,7,3
Suicide,Ulaanbaatar,2013,Ulaanbaatar - 2013,178,1372042,12.97336379,1.950515096,7,3
Suicide,Ulaanbaatar,2014,Ulaanbaatar - 2014,174,1362974,12.76620097,3.153220241,7,3
Suicide,Ulaanbaatar,2015,Ulaanbaatar - 2015,94,1396288,6.732135491,2.022833507,7,3
Suicide,Ulaanbaatar,2016,Ulaanbaatar - 2016,107,1440447,7.428249703,0.825548044,7,3
Suicide,Ulaanbaatar,2017,Ulaanbaatar - 2017,336,1462973,22.96693104,8.177285425,7,3
